,Prediced,True,Error
13,103.70065307617188,98.65,5.050653076171869
14,47.167816162109375,46.22,0.9478161621093761
15,94.17053985595703,94.82,0.6494601440429619
16,96.19255828857422,94.87,1.3225582885742142
17,160.12001037597656,156.183,3.9370103759765698
18,45.44521713256836,37.82,7.625217132568359
19,106.90216827392578,108.767,1.8648317260742147
20,67.5364990234375,68.22,0.6835009765624989
21,86.80134582519531,85.95,0.8513458251953097
22,94.28091430664062,94.46,0.17908569335936875
23,89.54070281982422,84.25,5.290702819824219
24,196.69435119628906,191.84,4.854351196289059
25,59.50537872314453,54.3,5.205378723144534
26,63.59055709838867,59.47,4.120557098388673
27,82.04710388183594,83.21,1.1628961181640562
28,47.82381057739258,46.09,1.7338105773925747
29,69.76541900634766,66.72,3.0454190063476574
30,53.630455017089844,54.84,1.2095449829101597
31,43.7060432434082,46.43,2.7239567565917966
32,156.78981018066406,163.84,7.050189819335941
33,40.613304138183594,41.13,0.5166958618164088
34,75.0646743774414,74.38,0.6846743774414108
35,35.13608932495117,34.2,0.936089324951169
36,110.67170715332031,109.26,1.4117071533203074
37,160.75289916992188,155.44,5.312899169921877
38,102.8184585571289,103.91,1.0915414428710903
39,115.58613586425781,109.83,5.756135864257814
40,42.5231819152832,40.21,2.3131819152832023
41,107.09223937988281,104.187,2.905239379882815
42,210.16928100585938,214.11,3.9407189941406386
43,54.22032928466797,54.14,0.08032928466796818
44,157.76443481445312,155.44,2.3244348144531273
45,51.06428527832031,47.2,3.8642852783203097
46,41.280277252197266,42.62,1.3397227478027318
47,57.338165283203125,58.18,0.8418347167968747
48,98.94020080566406,102.686,3.7457991943359445
49,103.27207946777344,103.06,0.21207946777343523
50,44.21628189086914,44.08,0.13628189086914233
51,51.947265625,48.4,3.5472656250000014
52,80.2552490234375,80.83,0.5747509765624983
53,32.63921356201172,33.08,0.44078643798827954
54,31.90658950805664,31.859999999999996,0.046589508056644746
55,72.82273864746094,76.01,3.1872613525390676
56,145.96990966796875,152.28,6.310090332031251
57,81.88984680175781,85.41,3.520153198242184
58,52.269432067871094,56.84,4.57056793212891
59,15.033907890319824,15.31,0.2760921096801763
60,37.44137191772461,38.11,0.6686280822753901
