,loss,mse,val_loss,val_mse
0,0.0015021556755527854,0.0015021556755527854,0.004001561086624861,0.004001561086624861
1,0.0014691553078591824,0.0014691553078591824,0.003935806918889284,0.003935806918889284
2,0.0014364976668730378,0.0014364976668730378,0.003915160428732634,0.003915160428732634
3,0.0014008352300152183,0.0014008352300152183,0.0038363439962267876,0.0038363439962267876
4,0.001374553539790213,0.001374553539790213,0.0038162318523973227,0.0038162318523973227
5,0.001341567374765873,0.001341567374765873,0.0037864602636545897,0.0037864602636545897
6,0.0013069112319499254,0.0013069112319499254,0.003717204090207815,0.003717204090207815
7,0.001276657567359507,0.001276657567359507,0.003614268498495221,0.003614268498495221
8,0.0012489431537687778,0.0012489431537687778,0.0035530575551092625,0.0035530575551092625
9,0.0012248953571543097,0.0012248953571543097,0.0035379373002797365,0.0035379373002797365
10,0.0011960894335061312,0.0011960894335061312,0.003432114375755191,0.003432114375755191
11,0.0011642655590549111,0.0011642655590549111,0.0034479289315640926,0.0034479289315640926
12,0.0011355630122125149,0.0011355630122125149,0.003400003770366311,0.003400003770366311
13,0.001112516620196402,0.001112516620196402,0.0033530043438076973,0.0033530043438076973
14,0.0010869367979466915,0.0010869367979466915,0.003300402080640197,0.003300402080640197
15,0.0010631666518747807,0.0010631666518747807,0.003271191380918026,0.003271191380918026
16,0.0010382377076894045,0.0010382377076894045,0.003212712937965989,0.003212712937965989
17,0.0010206295410171151,0.0010206295410171151,0.0032473839819431305,0.0032473839819431305
18,0.0009920467855408788,0.0009920467855408788,0.0031613444443792105,0.0031613444443792105
19,0.000970853550825268,0.000970853550825268,0.003094314830377698,0.003094314830377698
20,0.0009512227843515575,0.0009512227843515575,0.0030898787081241608,0.0030898787081241608
21,0.0009305373532697558,0.0009305373532697558,0.0030001625418663025,0.0030001625418663025
22,0.0009099004091694951,0.0009099004091694951,0.003030771156772971,0.003030771156772971
23,0.0008897907682694495,0.0008897907682694495,0.002994188806042075,0.002994188806042075
24,0.0008734000148251653,0.0008734000148251653,0.0029097122605890036,0.0029097122605890036
25,0.0008521879790350795,0.0008521879790350795,0.0028668991290032864,0.0028668991290032864
26,0.0008326858514919877,0.0008326858514919877,0.0028420172166079283,0.0028420172166079283
27,0.0008183919126167893,0.0008183919126167893,0.0028079317416995764,0.0028079317416995764
28,0.0008025335846468806,0.0008025335846468806,0.0027824845165014267,0.0027824845165014267
29,0.0007811621180735528,0.0007811621180735528,0.0027198216412216425,0.0027198216412216425
30,0.0007676185923628509,0.0007676185923628509,0.0026656389236450195,0.0026656389236450195
31,0.0007496637990698218,0.0007496637990698218,0.002652594819664955,0.002652594819664955
32,0.0007338605355471373,0.0007338605355471373,0.0026330447290092707,0.0026330447290092707
33,0.0007197469822131097,0.0007197469822131097,0.002590931486338377,0.002590931486338377
34,0.0007042422075755894,0.0007042422075755894,0.002558728912845254,0.002558728912845254
35,0.0006909696385264397,0.0006909696385264397,0.0025237740483134985,0.0025237740483134985
36,0.0006763557903468609,0.0006763557903468609,0.0025056861340999603,0.0025056861340999603
37,0.0006625379319302738,0.0006625379319302738,0.0024782181717455387,0.0024782181717455387
38,0.0006506005302071571,0.0006506005302071571,0.0024167054798454046,0.0024167054798454046
39,0.0006398987607099116,0.0006398987607099116,0.002408676315099001,0.002408676315099001
40,0.0006243856623768806,0.0006243856623768806,0.002365234773606062,0.002365234773606062
41,0.0006139895995147526,0.0006139895995147526,0.0023517822846770287,0.0023517822846770287
42,0.0006007821066305041,0.0006007821066305041,0.00232337205670774,0.00232337205670774
43,0.0005887461011298001,0.0005887461011298001,0.002291056327521801,0.002291056327521801
44,0.0005772735457867384,0.0005772735457867384,0.0022609350271523,0.0022609350271523
45,0.0005686205113306642,0.0005686205113306642,0.0022407989017665386,0.0022407989017665386
46,0.0005561584257520735,0.0005561584257520735,0.002212716033682227,0.002212716033682227
47,0.0005488232709467411,0.0005488232709467411,0.0022332279477268457,0.0022332279477268457
