,CO,T,CS,FS,Prediced,error
256,60,600,0.3,63.47,62.15637589,1.313624115
91,30,100,0.2,57.85,56.52459717,1.325402832
160,45,900,0.1,62.09,60.74328232,1.346717682
25,0,100,0.2,54.77,56.19116592,1.421165924
93,30,600,0.2,49.67,51.10001373,1.430013733
169,45,600,0.2,55.25,56.70376968,1.453769684
170,45,750,0.2,53.55,55.00750732,1.457507324
171,45,900,0.2,51.04,52.51132584,1.471325836
113,30,1200,0.5,33.48,32.00623322,1.473766785
211,45,400,0.6,40.09,41.56830597,1.478305969
111,30,600,0.5,36.39,37.8745079,1.484507904
161,45,1050,0.1,57.9,59.40090179,1.500901794
266,60,1200,0.4,54.15,52.64449692,1.505503082
200,45,400,0.5,48.04,46.52002716,1.519972839
127,30,100,0.8,23.65,25.19790459,1.547904587
36,0,0,0.4,44.3,42.75001144,1.549988556
168,45,500,0.2,55.52,57.083992,1.563992004
118,30,900,0.6,28.01,29.60721207,1.597212067
14,0,300,0.05,83.14,84.79468536,1.654685364
10,0,900,0.025,95.336,97.00025177,1.66425177
121,30,100,0.7,31.29,29.60310173,1.68689827
33,0,600,0.3,42.88,44.57698441,1.696984406
184,45,1200,0.3,39.94,41.64486694,1.704866943
166,45,300,0.2,57.86,59.57875061,1.71875061
62,0,300,0.8,16.27,18.03594589,1.765945892
188,45,300,0.4,47.02,48.83055878,1.810558777
100,30,900,0.3,44.52,42.70388031,1.81611969
137,45,900,0,213.37,215.1871948,1.817194824
240,60,300,0.1,86.76,84.92010498,1.83989502
159,45,750,0.1,65,63.15681839,1.84318161
44,0,300,0.5,36.97,35.10409164,1.865908356
250,60,900,0.2,63.25,61.36772537,1.882274628
249,60,750,0.2,65,63.04057312,1.95942688
24,0,0,0.2,60.15,58.1788559,1.971144104
164,45,100,0.2,60.08,62.11310577,2.033105774
195,45,1200,0.4,38.43,40.48295212,2.052952118
217,45,1200,0.6,34.47,36.55079269,2.080792694
23,0,1200,0.1,52.43,50.29778671,2.132213287
130,30,900,0.8,21.57,19.41211128,2.157888718
214,45,750,0.6,37.01,39.17120361,2.161203613
259,60,1200,0.3,54.03,56.21068573,2.18068573
84,30,0,0.1,77.55,75.33659363,2.213406372
264,60,750,0.4,59.5,57.21135712,2.288642883
216,45,1050,0.6,35.05,37.34360504,2.293605042
226,60,0,0.025,182.571,180.1764221,2.394577881
197,45,100,0.5,50.74,48.33908844,2.40091156
190,45,500,0.4,45.12,47.58697891,2.466978912
156,45,400,0.1,66.65,69.12606049,2.476060486
196,45,0,0.5,48.3,50.78855515,2.488555145
61,0,100,0.8,16.92,19.42567444,2.505674438
207,45,0,0.6,48.03,45.47994232,2.550057678
89,30,1200,0.1,52.54,55.12941742,2.589417419
148,45,300,0.05,97.74,95.12286377,2.61713623
192,45,750,0.4,42.42,45.04981995,2.629819946
234,60,300,0.05,116.48,113.8020706,2.677929382
150,45,900,0.05,86.92,89.62735748,2.707357483
81,30,600,0.05,84.86,82.12548828,2.734511719
238,60,0,0.1,99.93,97.1947937,2.735206299
77,30,1200,0.025,95.538,98.36676788,2.828767883
79,30,100,0.05,92.82,89.98876953,2.831230469
243,60,900,0.1,78.12,75.2407608,2.879239197
75,30,600,0.025,110.139,107.2455902,2.89340979
151,45,1200,0.05,80.82639204,83.75771332,2.931321278
153,45,100,0.1,71.59,74.52926636,2.939266357
27,0,600,0.2,50.63,47.62173843,3.008261566
232,60,0,0.05,121.47,124.6017227,3.131722717
239,60,100,0.1,92.24,89.09246826,3.147531738
173,45,1200,0.2,47.28,50.56611633,3.286116333
223,60,900,0,213.37,216.679306,3.30930603
268,60,100,0.5,63,59.57169342,3.42830658
83,30,1200,0.05,79.71,76.15304565,3.556954346
152,45,0,0.1,79.52,83.15869904,3.638699036
236,60,900,0.05,101.96,105.6173096,3.65730957
144,45,900,0.025,107,110.7256775,3.72567749
270,60,600,0.5,60.51,56.5375824,3.972417603
261,60,100,0.4,67.63,63.63302994,3.996970062
230,60,900,0.025,134.926,130.8148193,4.111180664
225,60,1200,0,179.01,183.6790771,4.669077148
69,30,600,0,245.94,240.3027344,5.637265625
146,45,0,0.05,104.15,109.900528,5.750527954
224,60,1050,0,207.62,200.1792145,7.440785522
6,0,0,0.025,123.629,116.118309,7.510690979
229,60,600,0.025,150.465,142.8623962,7.60260376
76,30,900,0.025,106.158,98.53759766,7.620402344
143,45,600,0.025,112.894,121.0797195,8.185719543
18,0,0,0.1,78.11,66.71417999,11.39582001
228,60,300,0.025,167,155.463089,11.53691101
142,45,300,0.025,118.955,131.0652466,12.11024658
0,0,0,0,240.68,256.4673767,15.78737671
141,45,100,0.025,121.668,141.2210541,19.55305408
140,45,0,0.025,122.667,155.9857483,33.31874829
