CO,T,CS,FS
0,0,0,240.68
0,100,0,258.41
0,300,0,256.53
0,600,0,245.94
0,900,0,213.37
0,1200,0,179.01
0,0,0.025,123.629
0,100,0.025,113.299
0,300,0.025,110.754
0,600,0.025,102.74
0,900,0.025,95.336
0,1200,0.025,91.355
0,0,0.05,102.01
0,100,0.05,85.14
0,300,0.05,83.14
0,600,0.05,76.69
0,900,0.05,70.59
0,1200,0.05,71.69
0,0,0.1,78.11
0,100,0.1,64.02
0,300,0.1,62.97
0,600,0.1,59.2
0,900,0.1,54.53
0,1200,0.1,52.43
0,0,0.2,60.15
0,100,0.2,54.77
0,300,0.2,52.36
0,600,0.2,50.63
0,900,0.2,45.1
0,1200,0.2,42.74
0,0,0.3,49.15
0,100,0.3,47.74
0,300,0.3,45.54
0,600,0.3,42.88
0,900,0.3,40.88
0,1200,0.3,37.03
0,0,0.4,44.3
0,100,0.4,43.13
0,300,0.4,41.85
0,600,0.4,38.77
0,900,0.4,36.01
0,1200,0.4,33.43
0,0,0.5,38.03
0,100,0.5,37.12
0,300,0.5,36.97
0,600,0.5,33.35
0,900,0.5,31.99
0,1200,0.5,28.43
0,0,0.6,31.9
0,100,0.6,30.45
0,300,0.6,29.01
0,600,0.6,28.24
0,900,0.6,25.61
0,1200,0.6,22.76
0,0,0.7,25.69
0,100,0.7,23.61
0,300,0.7,23.67
0,600,0.7,21.02
0,900,0.7,20.12
0,1200,0.7,18.31
0,0,0.8,19.37
0,100,0.8,16.92
0,300,0.8,16.27
0,600,0.8,15.26
0,900,0.8,14.21
0,1200,0.8,13.07
30,0,0,240.68
30,100,0,258.41
30,300,0,256.53
30,600,0,245.94
30,900,0,213.37
30,1200,0,179.01
30,0,0.025,136.52
30,100,0.025,119.962
30,300,0.025,117.817
30,600,0.025,110.139
30,900,0.025,106.158
30,1200,0.025,95.538
30,0,0.05,98.68
30,100,0.05,92.82
30,300,0.05,89.58
30,600,0.05,84.86
30,900,0.05,80.06
30,1200,0.05,79.71
30,0,0.1,77.55
30,100,0.1,68.72
30,300,0.1,64.86
30,600,0.1,62.03
30,900,0.1,57.76
30,1200,0.1,52.54
30,0,0.2,62.16
30,100,0.2,57.85
30,300,0.2,54.7
30,600,0.2,49.67
30,900,0.2,45.22
30,1200,0.2,42.13
30,0,0.3,53.89
30,100,0.3,51.49
30,300,0.3,50.34
30,600,0.3,45.84
30,900,0.3,44.52
30,1200,0.3,39.68
30,0,0.4,48.49
30,100,0.4,46.61
30,300,0.4,45.35
30,600,0.4,40.64
30,900,0.4,35.75
30,1200,0.4,34.44
30,0,0.5,41.78
30,100,0.5,41.25
30,300,0.5,39.84
30,600,0.5,36.39
30,900,0.5,34.48
30,1200,0.5,33.48
30,0,0.6,37.04
30,100,0.6,36.8
30,300,0.6,33.75
30,600,0.6,32.53
30,900,0.6,28.01
30,1200,0.6,27.9
30,0,0.7,31.46
30,100,0.7,31.29
30,300,0.7,28.94
30,600,0.7,26.2
30,900,0.7,24.68
30,1200,0.7,22.33
30,0,0.8,25.41
30,100,0.8,23.65
30,300,0.8,24.2
30,600,0.8,21.59
30,900,0.8,21.57
30,1200,0.8,19.62
45,0,0,240.68
45,100,0,258.41
45,300,0,256.53
45,600,0,245.94
45,750,0,232.5
45,900,0,213.37
45,1050,0,207.62
45,1200,0,179.01
45,0,0.025,122.667
45,100,0.025,121.668
45,300,0.025,118.955
45,600,0.025,112.894
45,900,0.025,107
45,1200,0.025,100.749
45,0,0.05,104.15
45,100,0.05,101.47
45,300,0.05,97.74
45,600,0.05,94.06
45,900,0.05,86.92
45,1200,0.05,80.82639204
45,0,0.1,79.52
45,100,0.1,71.59
45,200,0.1,70.9
45,300,0.1,69.61
45,400,0.1,66.65
45,500,0.1,66.75
45,600,0.1,66.15
45,750,0.1,65
45,900,0.1,62.09
45,1050,0.1,57.9
45,1200,0.1,58.38
45,0,0.2,66.79
45,100,0.2,60.08
45,200,0.2,59.86
45,300,0.2,57.86
45,400,0.2,58.88
45,500,0.2,55.52
45,600,0.2,55.25
45,750,0.2,53.55
45,900,0.2,51.04
45,1050,0.2,50.61
45,1200,0.2,47.28
45,0,0.3,60.03
45,100,0.3,56.2
45,200,0.3,54.74
45,300,0.3,53.67
45,400,0.3,51.89
45,500,0.3,50.69
45,600,0.3,50.61
45,750,0.3,49.2
45,900,0.3,45.99
45,1050,0.3,44.55
45,1200,0.3,39.94
45,0,0.4,52.25
45,100,0.4,50.05
45,200,0.4,48.83
45,300,0.4,47.02
45,400,0.4,48.39
45,500,0.4,45.12
45,600,0.4,46.32
45,750,0.4,42.42
45,900,0.4,43.44
45,1050,0.4,42.74
45,1200,0.4,38.43
45,0,0.5,48.3
45,100,0.5,50.74
45,200,0.5,47.66
45,300,0.5,47.45
45,400,0.5,48.04
45,500,0.5,44.96
45,600,0.5,44.51
45,750,0.5,44.73
45,900,0.5,42.63
45,1050,0.5,40.94
45,1200,0.5,39.59
45,0,0.6,48.03
45,100,0.6,45.34
45,200,0.6,43.81
45,300,0.6,43.36
45,400,0.6,40.09
45,500,0.6,41.68
45,600,0.6,40.34
45,750,0.6,37.01
45,900,0.6,38.2
45,1050,0.6,35.05
45,1200,0.6,34.47
60,0,0,240.68
60,100,0,258.41
60,300,0,256.53
60,600,0,245.94
60,750,0,232.5
60,900,0,213.37
60,1050,0,207.62
60,1200,0,179.01
60,0,0.025,182.571
60,100,0.025,176
60,300,0.025,167
60,600,0.025,150.465
60,900,0.025,134.926
60,1200,0.025,128.487
60,0,0.05,121.47
60,100,0.05,117.24
60,300,0.05,116.48
60,600,0.05,107.22
60,900,0.05,101.96
60,1200,0.05,93.12
60,0,0.1,99.93
60,100,0.1,92.24
60,300,0.1,86.76
60,600,0.1,80.32
60,750,0.1,77.9
60,900,0.1,78.12
60,1200,0.1,71.95
60,0,0.2,80.88
60,100,0.2,72.47
60,300,0.2,70.14
60,600,0.2,65.81
60,750,0.2,65
