,loss,mae,mse
0,0.1451682299375534,0.1451682299375534,0.04647442698478699
1,0.09748315811157227,0.09748315811157227,0.027914395555853844
2,0.08180022984743118,0.08180022984743118,0.023017510771751404
3,0.06747101247310638,0.06747101247310638,0.019539320841431618
4,0.06078660860657692,0.06078660860657692,0.01710979826748371
5,0.05739208683371544,0.05739208683371544,0.015706248581409454
6,0.054644085466861725,0.054644085466861725,0.014774098992347717
7,0.05177731066942215,0.05177731066942215,0.013886897824704647
8,0.04956904053688049,0.04956904053688049,0.013235182501375675
9,0.05023173242807388,0.05023173242807388,0.012835842557251453
10,0.04908213019371033,0.04908213019371033,0.012451010756194592
11,0.048436183482408524,0.048436183482408524,0.012166418135166168
12,0.045809321105480194,0.045809321105480194,0.01179652102291584
13,0.044839926064014435,0.044839926064014435,0.01146393921226263
14,0.043991852551698685,0.043991852551698685,0.011320359073579311
15,0.044089023023843765,0.044089023023843765,0.01129239797592163
16,0.043575990945100784,0.043575990945100784,0.011165996082127094
17,0.04192090034484863,0.04192090034484863,0.010829558596014977
18,0.04154009371995926,0.04154009371995926,0.010491905733942986
19,0.04041433706879616,0.04041433706879616,0.010362038388848305
20,0.039940450340509415,0.039940450340509415,0.010381639935076237
21,0.03871636837720871,0.03871636837720871,0.010302900336682796
22,0.03776201978325844,0.03776201978325844,0.010005272924900055
23,0.03656875342130661,0.03656875342130661,0.00998343899846077
24,0.03633969649672508,0.03633969649672508,0.009800123982131481
25,0.03540191054344177,0.03540191054344177,0.009585312567651272
26,0.036239348351955414,0.036239348351955414,0.009713921695947647
27,0.03480188176035881,0.03480188176035881,0.009435799904167652
28,0.03473080322146416,0.03473080322146416,0.00956505537033081
29,0.03405528515577316,0.03405528515577316,0.009441250003874302
30,0.03317053243517876,0.03317053243517876,0.009435550309717655
31,0.033120788633823395,0.033120788633823395,0.00900444108992815
32,0.032513100653886795,0.032513100653886795,0.009145237505435944
33,0.031279563903808594,0.031279563903808594,0.009184006601572037
34,0.031225817278027534,0.031225817278027534,0.009255314245820045
35,0.031248753890395164,0.031248753890395164,0.008799559436738491
36,0.03155532851815224,0.03155532851815224,0.008815796114504337
37,0.03014773689210415,0.03014773689210415,0.008497457951307297
38,0.03040066920220852,0.03040066920220852,0.00882432609796524
39,0.029926834627985954,0.029926834627985954,0.008600874803960323
40,0.029118292033672333,0.029118292033672333,0.008553539402782917
41,0.02913500927388668,0.02913500927388668,0.008464835584163666
42,0.029018942266702652,0.029018942266702652,0.008423839695751667
43,0.029109762981534004,0.029109762981534004,0.008372348733246326
44,0.029256664216518402,0.029256664216518402,0.008641046471893787
45,0.02802148647606373,0.02802148647606373,0.008079727180302143
46,0.02831655740737915,0.02831655740737915,0.008403544314205647
47,0.02781718038022518,0.02781718038022518,0.008382794447243214
48,0.026124313473701477,0.026124313473701477,0.007950646802783012
49,0.026978150010108948,0.026978150010108948,0.008292051032185555
50,0.026141328737139702,0.026141328737139702,0.007919611409306526
51,0.02678108587861061,0.02678108587861061,0.007750385440886021
52,0.026923490688204765,0.026923490688204765,0.008168790489435196
53,0.02472802624106407,0.02472802624106407,0.007644943427294493
54,0.02519114501774311,0.02519114501774311,0.007661821320652962
55,0.024639902636408806,0.024639902636408806,0.007854009047150612
56,0.024334968999028206,0.024334968999028206,0.007654726970940828
57,0.025789538398385048,0.025789538398385048,0.00753293139860034
58,0.026049023494124413,0.026049023494124413,0.007405607495456934
59,0.024138491600751877,0.024138491600751877,0.007244643289595842
60,0.024322010576725006,0.024322010576725006,0.007255284581333399
61,0.025230485945940018,0.025230485945940018,0.007433084771037102
62,0.02480197511613369,0.02480197511613369,0.0069167944602668285
63,0.023648424074053764,0.023648424074053764,0.006950422655791044
64,0.02452806569635868,0.02452806569635868,0.006658355239778757
65,0.023778459057211876,0.023778459057211876,0.007122101727873087
66,0.02336367405951023,0.02336367405951023,0.006697000004351139
67,0.023015661165118217,0.023015661165118217,0.006692076101899147
68,0.02232338860630989,0.02232338860630989,0.0066766212694346905
69,0.02330665849149227,0.02330665849149227,0.007057450246065855
70,0.023546451702713966,0.023546451702713966,0.00653665978461504
71,0.022756211459636688,0.022756211459636688,0.006609646137803793
72,0.023784035816788673,0.023784035816788673,0.006367170251905918
73,0.023361926898360252,0.023361926898360252,0.006198018789291382
74,0.02271013893187046,0.02271013893187046,0.0061529651284217834
75,0.022754432633519173,0.022754432633519173,0.006664041429758072
76,0.02222861908376217,0.02222861908376217,0.006075867917388678
77,0.021738646551966667,0.021738646551966667,0.005919556133449078
78,0.02242574654519558,0.02242574654519558,0.006095787975937128
79,0.02281883917748928,0.02281883917748928,0.00602705916389823
80,0.021264126524329185,0.021264126524329185,0.0059921047650277615
