LO,CO,T,CS,FS
13.9,30,1200,0.05,70.02
13.9,30,0,0.2,60.8
13.9,30,300,0.2,51.2
13.9,30,600,0.2,49.82
13.9,30,900,0.2,46.43
13.9,30,1200,0.2,39.52
13.9,30,0,0.3,54.84
13.9,30,300,0.3,50.16
13.9,30,600,0.3,44.92
13.9,30,900,0.3,42.07
13.9,30,1200,0.3,40.64
13.9,30,0,0.4,47.9
13.9,30,300,0.4,44.08
13.9,30,600,0.4,40.17
13.9,30,900,0.4,38.11
13.9,30,1200,0.4,35.87
13.9,30,0,0.5,42.62
13.9,30,300,0.5,39.49
13.9,30,600,0.5,36.12
13.9,30,900,0.5,33.63
13.9,30,1200,0.5,29.65
13.9,30,0,0.8,25.72
13.9,30,300,0.8,22.76
13.9,30,600,0.8,21.59
13.9,30,900,0.8,20.73
13.9,30,1200,0.8,19.17
13.9,45,0,0.025,163.337
13.9,45,300,0.025,138.715
13.9,45,600,0.025,125.41
13.9,45,1200,0.025,104.187
13.9,45,0,0.05,109.26
13.9,45,300,0.05,103.06
13.9,45,600,0.05,94.46
13.9,45,1200,0.05,84.25
13.9,45,0,0.1,85.43
13.9,45,300,0.1,75.56
13.9,45,600,0.1,70.31
13.9,45,1200,0.1,59.61
13.9,45,0,0.2,66.72
13.9,45,300,0.2,59.47
13.9,45,600,0.2,56.24
13.9,45,1200,0.2,48.4
13.9,45,0,0.3,54.3
13.9,45,300,0.3,51.78
13.9,45,600,0.3,48.32
13.9,45,1200,0.3,43.25
13.9,45,0,0.4,55
13.9,45,300,0.4,49.58
13.9,45,600,0.4,45.87
13.9,45,1200,0.4,37.82
13.9,45,0,0.6,46.09
13.9,45,300,0.6,41.1
13.9,45,600,0.6,40.21
13.9,45,1200,0.6,35.64
13.9,60,0,0.025,156.183
13.9,60,300,0.025,138.219
13.9,60,600,0.025,129.45
13.9,60,1200,0.025,120.365
13.9,60,0,0.05,122.42
13.9,60,300,0.05,109.83
13.9,60,600,0.05,108.767
13.9,60,1200,0.05,94.87
13.9,60,0,0.1,103.91
13.9,60,300,0.1,94.82
13.9,60,600,0.1,86.31
13.9,60,1200,0.1,76.63
13.9,60,0,0.2,83.21
13.9,60,300,0.2,72.56
13.9,60,600,0.2,69.39
13.9,60,1200,0.2,67.1
13.9,60,0,0.3,76.01
13.9,60,300,0.3,69.51
13.9,60,600,0.3,68.22
13.9,60,1200,0.3,61.61
13.9,60,0,0.4,96.98
13.9,60,300,0.4,64.25
13.9,60,600,0.4,60.04
13.9,60,1200,0.4,58.18
13.9,60,0,0.5,83.17
13.9,60,300,0.5,66.78
13.9,60,600,0.5,63.28
13.9,60,1200,0.5,56.84
13.9,30,0,0,191.84
13.9,30,100,0,237.77
13.9,30,300,0,225.27
13.9,30,600,0,214.11
13.9,30,900,0,155.44
13.9,30,1200,0,140.09
13.9,45,0,0,191.84
13.9,45,100,0,237.77
13.9,45,300,0,225.27
13.9,45,600,0,214.11
13.9,45,900,0,155.44
13.9,45,1200,0,140.09
13.9,60,0,0,191.84
13.9,60,100,0,237.77
13.9,60,300,0,225.27
13.9,60,600,0,214.11
13.9,60,900,0,155.44
13.9,60,1200,0,140.09
13.9,15,0,0,191.84
13.9,15,100,0,237.77
13.9,15,300,0,225.27
13.9,15,600,0,214.11
13.9,15,900,0,155.44
13.9,15,1200,0,140.09
30,0,0,0,301.94
30,0,100,0,316.7
30,0,200,0,
30,0,300,0,282.32
30,0,400,0,
30,0,500,0,
30,0,600,0,235.45
30,0,700,0,
30,0,800,0,
30,0,900,0,194.43
30,0,1000,0,
30,0,1100,0,
30,0,1200,0,
30,0,0,0.025,144.424
30,0,100,0.025,120.082
30,0,200,0.025,
30,0,300,0.025,114.465
30,0,400,0.025,
30,0,500,0.025,
30,0,600,0.025,108.962
30,0,700,0.025,
30,0,800,0.025,
30,0,900,0.025,95.193
30,0,1000,0.025,
30,0,1100,0.025,
30,0,1200,0.025,
30,0,0,0.05,127.206
30,0,100,0.05,86.53
30,0,200,0.05,
30,0,300,0.05,89.974
30,0,400,0.05,
30,0,500,0.05,
30,0,600,0.05,78.006
30,0,700,0.05,
30,0,800,0.05,
30,0,900,0.05,77.107
30,0,1000,0.05,
30,0,1100,0.05,
30,0,1200,0.05,
30,0,0,0.1,82.7
30,0,100,0.1,77.27
30,0,200,0.1,
30,0,300,0.1,61.87
30,0,400,0.1,
30,0,500,0.1,
30,0,600,0.1,58.81
30,0,700,0.1,
30,0,800,0.1,
30,0,900,0.1,55.42
30,0,1000,0.1,
30,0,1100,0.1,
30,0,1200,0.1,
30,0,0,0.2,68.7
30,0,100,0.2,56.14
30,0,200,0.2,
30,0,300,0.2,52.59
30,0,400,0.2,
30,0,500,0.2,
30,0,600,0.2,49.28
30,0,700,0.2,
30,0,800,0.2,
30,0,900,0.2,45.46
30,0,1000,0.2,
30,0,1100,0.2,
30,0,1200,0.2,35.7
30,0,0,0.3,50.82
30,0,100,0.3,47.51
30,0,200,0.3,
30,0,300,0.3,45.12
30,0,400,0.3,
30,0,500,0.3,
30,0,600,0.3,42.02
30,0,700,0.3,
30,0,800,0.3,
30,0,900,0.3,38.47
30,0,1000,0.3,
30,0,1100,0.3,
30,0,1200,0.3,
30,0,0,0.4,45.73
30,0,100,0.4,43.46
30,0,200,0.4,
30,0,300,0.4,41.01
30,0,400,0.4,
30,0,500,0.4,
30,0,600,0.4,37.74
30,0,700,0.4,
30,0,800,0.4,
30,0,900,0.4,34.97
30,0,1000,0.4,
30,0,1100,0.4,
30,0,1200,0.4,
30,0,0,0.5,39.63
30,0,100,0.5,36.86
30,0,200,0.5,
30,0,300,0.5,34.2
30,0,400,0.5,
30,0,500,0.5,
30,0,600,0.5,32.43
30,0,700,0.5,
30,0,800,0.5,
30,0,900,0.5,30.68
30,0,1000,0.5,
30,0,1100,0.5,
30,0,1200,0.5,
30,0,0,0.6,32.73
30,0,100,0.6,30.39
30,0,200,0.6,
30,0,300,0.6,28.89
30,0,400,0.6,
30,0,500,0.6,
30,0,600,0.6,26.94
30,0,700,0.6,
30,0,800,0.6,
30,0,900,0.6,28.65
30,0,1000,0.6,
30,0,1100,0.6,
30,0,1200,0.6,25.88
30,0,0,0.7,26.21
30,0,100,0.7,24.16
30,0,200,0.7,
30,0,300,0.7,22.54
30,0,400,0.7,
30,0,500,0.7,
30,0,600,0.7,20.85
30,0,700,0.7,
30,0,800,0.7,
30,0,900,0.7,19.56
30,0,1000,0.7,
30,0,1100,0.7,
30,0,1200,0.7,
30,0,0,0.8,19.99
30,0,100,0.8,17.63
30,0,200,0.8,
30,0,300,0.8,16.07
30,0,400,0.8,
30,0,500,0.8,
30,0,600,0.8,14.97
30,0,700,0.8,
30,0,800,0.8,
30,0,900,0.8,14.05
30,0,1000,0.8,
30,0,1100,0.8,
30,0,1200,0.8,
30,0,660,0.78,15.85
30,0,33,0.13,72.41
30,0,120,0.47,46.34
30,0,360,0.58,29.68
30,30,0,0.025,123.974
30,30,300,0.025,
30,30,600,0.025,105.399
30,30,1200,0.025,
30,30,0,0.05,101.4129
30,30,300,0.05,87.23
30,30,600,0.05,84.58
30,30,1200,0.05,72.88
30,30,0,0.2,62.18
30,30,300,0.2,54.06
30,30,600,0.2,52.07
30,30,1200,0.2,44.45
30,30,0,0.4,41.8
30,30,300,0.4,39
30,30,600,0.4,36.6
30,30,1200,0.4,32.7
30,30,0,0.7,31.03
30,30,300,0.7,29.97
30,30,600,0.7,28.05
30,30,1200,0.7,23
30,45,0,0.025,132.841
30,45,300,0.025,124.55
30,45,600,0.025,115.718
30,45,1200,0.025,99.008
30,45,0,0.05,107.2
30,45,300,0.05,95.6828585
30,45,600,0.05,89.856336
30,45,1200,0.05,74.56
30,45,0,0.2,68.3
30,45,300,0.2,57.8025
30,45,600,0.2,56.8
30,45,1200,0.2,52.53
30,45,0,0.4,55.46
30,45,300,0.4,53.13
30,45,600,0.4,48.34
30,45,1200,0.4,41.12
30,45,0,0.6,47.75
30,45,300,0.6,42.91
30,45,600,0.6,40.13
30,45,1200,0.6,35.14
30,60,0,0.025,149.441
30,60,300,0.025,155.173
30,60,600,0.025,121.553
30,60,1200,0.025,106.777
30,60,0,0.05,123.69
30,60,300,0.05,126.01
30,60,600,0.05,101.04
30,60,1200,0.05,97.33
30,60,0,0.2,
30,60,300,0.2,
30,60,600,0.2,
30,60,1200,0.2,
30,60,0,0.3,75.75
30,60,300,0.3,65.94
30,60,600,0.3,58.49
30,60,1200,0.3,52.9
30,60,0,0.5,68.67
30,60,300,0.5,60.55
30,60,600,0.5,70.71
30,60,1200,0.5,54.97
30,60,0,0.1,101.6
30,60,300,0.1,85.07
30,60,600,0.1,82.13
30,60,1200,0.1,66.72
30,60,0,0.4,77.316
30,60,300,0.4,72.83
30,60,600,0.4,71.51
30,60,1200,0.4,51.64
30,30,0,0,301.94
30,30,100,0,316.7
30,30,200,0,
30,30,300,0,282.32
30,30,400,0,
30,30,500,0,
30,30,600,0,235.45
30,30,700,0,
30,30,800,0,
30,30,900,0,194.43
30,30,1000,0,
30,30,1100,0,
30,30,1200,0,
30,45,0,0,301.94
30,45,100,0,316.7
30,45,200,0,
30,45,300,0,282.32
30,45,400,0,
30,45,500,0,
30,45,600,0,235.45
30,45,700,0,
30,45,800,0,
30,45,900,0,194.43
30,45,1000,0,
30,45,1100,0,
30,45,1200,0,
30,60,0,0,301.94
30,60,100,0,316.7
30,60,200,0,
30,60,300,0,282.32
30,60,400,0,
30,60,500,0,
30,60,600,0,235.45
30,60,700,0,
30,60,800,0,
30,60,900,0,194.43
30,60,1000,0,
30,60,1100,0,
30,60,1200,0,
