,CO,T,CS,FS,FT
532,0.26666666666666666,0.0,0.5,0.1391130675796853,47.2
533,0.33333333333333337,0.0,0.5,0.1419662509170946,47.9
535,0.4666666666666667,0.0,0.5,0.14726501997228333,49.2
536,0.5333333333333333,0.0,0.5,0.15174859378821223,50.3
538,0.6666666666666667,0.0,0.5,0.17375886524822692,55.7
539,0.7333333333333334,0.0,0.5,0.19699192956713127,61.4
540,0.8,0.0,0.5,0.23257520176082166,70.13
544,0.06666666666666667,0.0,0.375,0.15215619140784215,50.4
545,0.13333333333333333,0.0,0.375,0.15541697236488136,51.2
546,0.2,0.0,0.375,0.15786255808266075,51.8
547,0.26666666666666666,0.0,0.375,0.15990054618081026,52.3
548,0.33333333333333337,0.0,0.375,0.16275372951821956,53.0
550,0.4666666666666667,0.0,0.375,0.1721284747697073,55.3
551,0.5333333333333333,0.0,0.375,0.17987282954267544,57.2
553,0.6666666666666667,0.0,0.375,0.2067742724382489,63.8
554,0.7333333333333334,0.0,0.375,0.22674655580011407,68.7
555,0.8,0.0,0.375,0.252099127741094,74.92
556,0.9333333333333333,0.0,0.375,0.32171680117388113,92.0
557,1.0,0.0,0.375,0.3665525393331702,103.0
559,0.06666666666666667,0.0,0.25,0.1957691367082416,61.1
560,0.13333333333333333,0.0,0.25,0.1978071248063911,61.6
561,0.2,0.0,0.25,0.19821472242602098,61.7
562,0.26666666666666666,0.0,0.25,0.19821472242602098,61.7
563,0.33333333333333337,0.0,0.25,0.19862232004565086,61.8
565,0.4666666666666667,0.0,0.25,0.2035134914812097,63.0
566,0.5333333333333333,0.0,0.25,0.2096274557756582,64.5
568,0.6666666666666667,0.0,0.25,0.23286052009456262,70.2
569,0.7333333333333334,0.0,0.25,0.25161001059753807,74.8
570,0.8,0.0,0.25,0.27639194587103605,80.88
571,0.9333333333333333,0.0,0.25,0.338428303578707,96.1
572,1.0,0.0,0.25,0.3950843727072633,110.0
574,0.06666666666666667,0.0,0.125,0.26599820657047357,78.33
575,0.13333333333333333,0.0,0.125,0.2666911225238444,78.5
576,0.2,0.0,0.125,0.2670987201434743,78.6
577,0.26666666666666666,0.0,0.125,0.26628352490421453,78.4
578,0.33333333333333337,0.0,0.125,0.26465313442569494,78.0
580,0.4666666666666667,0.0,0.125,0.2617999510882856,77.3
581,0.5333333333333333,0.0,0.125,0.2638379391864351,77.8
583,0.6666666666666667,0.0,0.125,0.28584821064644983,83.2
584,0.7333333333333334,0.0,0.125,0.3123420559223934,89.7
585,0.8,0.0,0.125,0.3540392924105323,99.93
586,0.9333333333333333,0.0,0.125,0.5010597538110376,136.0
587,1.0,0.0,0.125,0.619263063503709,165.0
588,0.0,0.04166666666666667,0.9375,0.03045528654112658,20.5419
589,0.0,0.625,0.525,0.09434702861335287,36.2171
590,0.0,0.375,0.6625000000000001,0.07971101328768238,32.6263
591,0.0,0.14583333333333334,0.8250000000000001,0.053069210075813146,26.09
592,0.4,0.04166666666666667,0.1875,0.2069972007010679,63.85469322
593,0.4,0.20833333333333334,0.1875,0.17960667428874214,57.13470147
594,0.4,0.375,0.1875,0.173131932868672,55.54618841
595,0.4,0.5625,0.1875,0.16024577101165724,52.38469746
596,0.4,0.7916666666666667,0.1875,0.1475321935681095,49.26554837
