,loss,mse,val_loss,val_mse
123,9.375470108352602e-05,9.375470108352602e-05,8.862706454237923e-05,8.862706454237923e-05
124,6.565039802808315e-05,6.565039802808315e-05,6.297692016232759e-05,6.297692016232759e-05
125,4.2334020690759644e-05,4.2334020690759644e-05,8.044492278713733e-05,8.044492278713733e-05
126,8.010364399524406e-05,8.010364399524406e-05,7.790322706568986e-05,7.790322706568986e-05
127,0.0005488117458298802,0.0005488117458298802,0.0001769881637301296,0.0001769881637301296
128,0.0005457910592667758,0.0005457910592667758,0.00021981522149872035,0.00021981522149872035
129,0.00027898448752239347,0.00027898448752239347,0.00010136185301234946,0.00010136185301234946
130,0.00019243759743403643,0.00019243759743403643,0.00014038574590813369,0.00014038574590813369
131,0.00039497960824519396,0.00039497960824519396,0.00017764672520570457,0.00017764672520570457
132,0.00011204986367374659,0.00011204986367374659,4.5152388338465244e-05,4.5152388338465244e-05
133,0.00011723548959707841,0.00011723548959707841,7.342170283664018e-05,7.342170283664018e-05
134,9.352890629088506e-05,9.352890629088506e-05,9.849675552686676e-05,9.849675552686676e-05
135,0.0003663992683868855,0.0003663992683868855,0.00015827271272428334,0.00015827271272428334
136,0.00017598553677089512,0.00017598553677089512,6.835656677139923e-05,6.835656677139923e-05
137,0.00011955271475017071,0.00011955271475017071,8.284515206469223e-05,8.284515206469223e-05
138,0.00013484625378623605,0.00013484625378623605,0.0003630243008956313,0.0003630243008956313
139,0.0001455948076909408,0.0001455948076909408,8.128494664561003e-05,8.128494664561003e-05
140,0.00010447587555972859,0.00010447587555972859,0.00013480932102538645,0.00013480932102538645
141,0.0001022780270432122,0.0001022780270432122,0.0001132516554207541,0.0001132516554207541
142,0.00032706442289054394,0.00032706442289054394,0.00016742051229812205,0.00016742051229812205
143,0.00026163941947743297,0.00026163941947743297,6.680576188955456e-05,6.680576188955456e-05
144,0.00014044111594557762,0.00014044111594557762,0.00014381746586877853,0.00014381746586877853
145,0.00025589531287550926,0.00025589531287550926,0.00015511650417465717,0.00015511650417465717
146,0.0008935058140195906,0.0008935058140195906,0.0003515355638228357,0.0003515355638228357
147,0.00043451611418277025,0.00043451611418277025,0.00010263811418553814,0.00010263811418553814
148,9.863509330898523e-05,9.863509330898523e-05,7.418045424856246e-05,7.418045424856246e-05
149,7.264876330737025e-05,7.264876330737025e-05,7.736701081739739e-05,7.736701081739739e-05
150,0.00017274411220569164,0.00017274411220569164,0.0002875155187211931,0.0002875155187211931
151,0.0005138803389854729,0.0005138803389854729,0.00012411343050189316,0.00012411343050189316
152,0.00011943197023356333,0.00011943197023356333,6.72924070386216e-05,6.72924070386216e-05
153,8.770463318796828e-05,8.770463318796828e-05,5.6001248594839126e-05,5.6001248594839126e-05
154,6.306247814791277e-05,6.306247814791277e-05,5.8350655308458954e-05,5.8350655308458954e-05
155,9.181618952425197e-05,9.181618952425197e-05,0.00011789044219767675,0.00011789044219767675
156,0.0001495637116022408,0.0001495637116022408,0.0001050729988492094,0.0001050729988492094
157,0.0004956421907991171,0.0004956421907991171,0.000299799838103354,0.000299799838103354
158,0.0003490640374366194,0.0003490640374366194,0.0007371037499979138,0.0007371037499979138
159,0.000547880947124213,0.000547880947124213,0.00017916836077347398,0.00017916836077347398
160,0.0003068654041271657,0.0003068654041271657,5.905769648961723e-05,5.905769648961723e-05
161,0.0001372413826175034,0.0001372413826175034,6.562131602549925e-05,6.562131602549925e-05
162,0.00013168243458494544,0.00013168243458494544,8.401271043112502e-05,8.401271043112502e-05
163,4.7469056880800053e-05,4.7469056880800053e-05,5.791839066660032e-05,5.791839066660032e-05
164,4.6449258661596105e-05,4.6449258661596105e-05,4.265988536644727e-05,4.265988536644727e-05
165,4.184719728073105e-05,4.184719728073105e-05,4.60830342490226e-05,4.60830342490226e-05
166,3.918687434634194e-05,3.918687434634194e-05,4.1689792851684615e-05,4.1689792851684615e-05
167,4.8320544010493904e-05,4.8320544010493904e-05,5.6149983720388263e-05,5.6149983720388263e-05
168,6.18642006884329e-05,6.18642006884329e-05,6.181871140142903e-05,6.181871140142903e-05
169,7.510787690989673e-05,7.510787690989673e-05,5.3176576329860836e-05,5.3176576329860836e-05
170,8.694145071785897e-05,8.694145071785897e-05,4.409362736623734e-05,4.409362736623734e-05
171,7.157719664974138e-05,7.157719664974138e-05,4.521005757851526e-05,4.521005757851526e-05
172,9.396044333698228e-05,9.396044333698228e-05,5.9550191508606076e-05,5.9550191508606076e-05
173,9.235760808223858e-05,9.235760808223858e-05,0.00012195325689390302,0.00012195325689390302
174,0.0002234974381281063,0.0002234974381281063,0.00014006264973431826,0.00014006264973431826
175,0.00015787668235134333,0.00015787668235134333,0.00016201884136535227,0.00016201884136535227
176,0.0006878639105707407,0.0006878639105707407,0.0001948575081769377,0.0001948575081769377
177,0.00030300894286483526,0.00030300894286483526,4.7158744564512745e-05,4.7158744564512745e-05
178,0.00012204347149236128,0.00012204347149236128,5.889368912903592e-05,5.889368912903592e-05
179,0.00021388115419540554,0.00021388115419540554,0.0004539620131254196,0.0004539620131254196
180,0.00044182504643686116,0.00044182504643686116,9.484079055255279e-05,9.484079055255279e-05
181,0.0003524473577272147,0.0003524473577272147,9.595163282938302e-05,9.595163282938302e-05
182,0.0005512902862392366,0.0005512902862392366,0.00015945096674840897,0.00015945096674840897
183,0.00011908006126759574,0.00011908006126759574,5.076695742900483e-05,5.076695742900483e-05
184,0.0002629595692269504,0.0002629595692269504,9.688038699096069e-05,9.688038699096069e-05
185,0.00015395220543723553,0.00015395220543723553,5.5118940508691594e-05,5.5118940508691594e-05
186,5.320092895999551e-05,5.320092895999551e-05,5.167699418962002e-05,5.167699418962002e-05
187,7.433398423017934e-05,7.433398423017934e-05,5.76154088776093e-05,5.76154088776093e-05
188,3.929411104763858e-05,3.929411104763858e-05,5.6681241403566673e-05,5.6681241403566673e-05
189,5.1225571951363236e-05,5.1225571951363236e-05,4.079844075022265e-05,4.079844075022265e-05
190,5.243546547717415e-05,5.243546547717415e-05,6.256006599869579e-05,6.256006599869579e-05
191,5.842947939527221e-05,5.842947939527221e-05,5.974317900836468e-05,5.974317900836468e-05
192,3.6024550354341045e-05,3.6024550354341045e-05,5.245532520348206e-05,5.245532520348206e-05
193,5.222957406658679e-05,5.222957406658679e-05,5.779190541943535e-05,5.779190541943535e-05
