,loss,accuracy
0,0.6908884048461914,0.7746315002441406
1,0.3552335202693939,0.8816912174224854
2,0.2782074511051178,0.909231960773468
3,0.24621492624282837,0.9212567806243896
4,0.22892975807189941,0.9278510212898254
5,0.2293589860200882,0.9266873598098755
6,0.22739899158477783,0.9212567806243896
7,0.21890060603618622,0.9309542179107666
8,0.17366772890090942,0.9418153762817383
9,0.19758231937885284,0.9422032833099365
10,0.17093735933303833,0.9487975239753723
11,0.1538073718547821,0.9472459554672241
12,0.13287760317325592,0.9604344367980957
13,0.1504112035036087,0.9596586227416992
14,0.13667060434818268,0.9542281031608582
15,0.11362050473690033,0.9654771089553833
16,0.11662492901086807,0.9577191472053528
17,0.11176629364490509,0.9654771089553833
18,0.10462254285812378,0.9670286774635315
19,0.10569662600755692,0.9654771089553833
20,0.11492409557104111,0.969356119632721
21,0.09689012169837952,0.9705197811126709
22,0.13589082658290863,0.9584949612617493
23,0.11036370694637299,0.9701318740844727
24,0.08439663797616959,0.9767261147499084
25,0.10269257426261902,0.9720713496208191
26,0.09585194289684296,0.9697439670562744
27,0.10456725209951401,0.969356119632721
28,0.1023893877863884,0.9674165844917297
29,0.05595377832651138,0.9840961694717407
30,0.18498840928077698,0.9519007205963135
31,0.09127160906791687,0.9724592566490173
32,0.07962385565042496,0.9778898358345032
33,0.06551895290613174,0.9782777428627014
34,0.06150537729263306,0.9798293113708496
35,0.18185566365718842,0.9550038576126099
36,0.11662696301937103,0.9689682126045227
37,0.08141891658306122,0.9755624532699585
38,0.13546162843704224,0.9619860649108887
39,0.10700910538434982,0.9716835021972656
40,0.07145752757787704,0.9790535569190979
41,0.06436947733163834,0.9809930324554443
42,0.06629294902086258,0.9809930324554443
43,0.06907276064157486,0.9767261147499084
44,0.06597790122032166,0.983320415019989
45,0.0714949294924736,0.9802172183990479
46,0.06012093648314476,0.9790535569190979
47,0.06269100308418274,0.9809930324554443
48,0.058151789009571075,0.9790535569190979
49,0.048851337283849716,0.9837083220481873
